Time,Speed,Timestamp
0.08765101432800293,0.792,17:48:58.926
0.19324111938476562,1.584,17:48:59.032
0.2988569736480713,0.792,17:48:59.137
0.40186595916748047,0.792,17:48:59.240
0.5070772171020508,3.132,17:48:59.346
0.6125860214233398,7.092,17:48:59.451
0.7182619571685791,1.584,17:48:59.557
0.8240072727203369,2.3760000000000003,17:48:59.663
0.9249930381774902,1.584,17:48:59.764
1.0283331871032715,0.792,17:48:59.867
1.1339130401611328,0.792,17:48:59.973
1.2394461631774902,1.584,17:49:00.078
1.3451571464538574,1.584,17:49:00.184
1.4506433010101318,1.584,17:49:00.289
1.5540149211883545,1.584,17:49:00.393
1.659424066543579,0.792,17:49:00.498
1.7658030986785889,0.792,17:49:00.604
1.8712491989135742,1.584,17:49:00.710
1.9768691062927246,3.9240000000000004,17:49:00.815
2.0826961994171143,1.584,17:49:00.921
2.1847281455993652,14.940000000000001,17:49:01.023
2.2871620655059814,3.9240000000000004,17:49:01.126
2.3904831409454346,0.792,17:49:01.229
2.4910521507263184,3.132,17:49:01.330
2.596541166305542,0.792,17:49:01.435
2.701878070831299,3.132,17:49:01.540
2.807347297668457,1.584,17:49:01.646
2.909616231918335,8.64,17:49:01.748
3.0150179862976074,0.792,17:49:01.854
3.1191999912261963,3.132,17:49:01.958
3.228621006011963,3.9240000000000004,17:49:02.067
